entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct,confidence,bars_held,reason,is_winner,balance_after
2023-03-25 11:00:00,2023-03-25 11:00:00,SHORT,1.152608397528841,1.152545690168217,2305.2167950576822,115.26083975288411,1.0,3,Stop Loss,True,12305.216795057682
2023-03-25 17:00:00,2023-03-25 17:00:00,SHORT,1.1512846739349325,1.147446906253252,8169.4436713907635,331.9504161304972,1.0,11,Take Profit,True,20474.660466448448
2023-03-26 05:00:00,2023-03-26 05:00:00,SHORT,1.1479387895459716,1.1490251071332265,-4700.731390443918,-114.79387895459716,1.0,9,Stop Loss,False,15773.92907600453
2023-03-26 16:00:00,2023-03-26 16:00:00,SHORT,1.1482640743406036,1.1500825290224463,-3622.5272138345354,-114.82640743406036,1.0,7,Stop Loss,False,12151.401862169994
2023-03-27 01:00:00,2023-03-27 01:00:00,SHORT,1.14999767457908,1.150852908499375,-2794.816776874279,-114.999767457908,1.0,25,Stop Loss,False,9356.585085295716
2023-03-28 04:00:00,2023-03-28 04:00:00,SHORT,1.1500156182210193,1.1433867658679824,12386.260209533175,661.9006879442975,1.0,17,Take Profit,True,21742.84529482889
2023-03-28 22:00:00,2023-03-28 22:00:00,SHORT,1.143416744129195,1.1436475529964114,-4972.226675023607,-114.34167441291949,1.0,1,Stop Loss,False,16770.618619805282
2023-03-29 01:00:00,2023-03-29 01:00:00,SHORT,1.1432019977678418,1.1441367899402322,-3834.440941992793,-114.32019977678418,1.0,2,Stop Loss,False,12936.17767781249
2023-03-29 09:00:00,2023-03-29 09:00:00,SHORT,1.1469043021100853,1.147935282244018,-2967.3115663087196,-114.69043021100853,1.0,1,Stop Loss,False,9968.86611150377
2023-03-29 14:00:00,2023-03-29 14:00:00,SHORT,1.1493829402397513,1.142703668845247,251503.87677504096,12614.467581464107,1.0,9,Take Profit,True,261472.74288654473
2023-03-30 00:00:00,2023-03-30 00:00:00,SHORT,1.142734119971568,1.1356254810064608,224333.63755263752,428.9809237400661,1.0,61,Take Profit,True,485806.3804391823
2023-04-01 14:00:00,2023-04-01 14:00:00,SHORT,1.1346737963949125,1.1359968857367413,-110246.35400115963,-113.46737963949126,1.0,4,Stop Loss,False,375560.0264380226
2023-04-01 21:00:00,2023-04-01 21:00:00,SHORT,1.1345221631262306,1.1286457850985767,288377.7026979098,383.93024070347883,1.0,43,Take Profit,True,663937.7291359324
2023-04-03 17:00:00,2023-04-03 17:00:00,SHORT,1.1272168918490746,1.1238596195103456,211650.94051976863,159.39065610506665,1.0,17,Take Profit,True,875588.669655701
2023-04-04 11:00:00,2023-04-04 11:00:00,SHORT,1.1252331867256407,1.1246204050808126,197048.28580350976,112.52331867256406,1.0,1,Stop Loss,True,1072636.9554592108
2023-04-04 15:00:00,2023-04-04 15:00:00,SHORT,1.1287362208024774,1.12917353695777,-242144.83667962102,-112.87362208024776,1.0,1,Stop Loss,False,830492.1187795898
2023-04-04 21:00:00,2023-04-04 21:00:00,SHORT,1.1260044186817484,1.1250655635374336,38156.063128265036,22.971959796762107,1.0,3,Take Profit,True,868648.1819078549
2023-04-05 01:00:00,2023-04-05 01:00:00,SHORT,1.1241104320317072,1.1264363218809632,-195291.29660959917,-112.41104320317072,1.0,9,Stop Loss,False,673356.8852982557
2023-04-05 13:00:00,2023-04-05 13:00:00,SHORT,1.1270213137262755,1.127976265098237,-151777.51229509467,-112.70213137262756,1.0,2,Stop Loss,False,521579.37300316105
2023-04-05 17:00:00,2023-04-05 17:00:00,SHORT,1.125194024377403,1.1241724567892324,35053.04840776395,33.60279395821843,1.0,2,Take Profit,True,556632.421410925
2023-04-05 20:00:00,2023-04-05 20:00:00,SHORT,1.1235261171650448,1.1261817198450228,-125078.2126231987,-112.35261171650448,1.0,37,Stop Loss,False,431554.2087877263
2023-04-07 13:00:00,2023-04-07 13:00:00,SHORT,1.1268993899052058,1.126828956101258,97263.63491878251,112.68993899052057,1.0,5,Stop Loss,True,528817.8437065089
2023-04-07 21:00:00,2023-04-07 21:00:00,SHORT,1.1242938664538356,1.1259974171197649,-118909.3316301142,-112.42938664538356,0.95,7,Stop Loss,False,409908.51207639463
2023-04-08 06:00:00,2023-04-08 06:00:00,SHORT,1.125863827287409,1.1260681509217445,-92300.23324880337,-112.58638272874092,0.95,1,Stop Loss,False,317608.2788275913
2023-04-08 13:00:00,2023-04-08 13:00:00,LONG,1.1289966776987552,1.1275945275603951,-71715.73832119409,-112.89966776987552,1.0,3,Stop Loss,False,245892.5405063972
2023-04-08 17:00:00,2023-04-08 17:00:00,SHORT,1.1267749418800144,1.1285948152491427,-55413.11060756495,-112.67749418800143,1.0,5,Stop Loss,False,190479.42989883226
2023-04-09 03:00:00,2023-04-09 03:00:00,SHORT,1.1281882027125576,1.130188363567405,-42979.32913425523,-112.81882027125573,1.0,16,Stop Loss,False,147500.10076457702
2023-04-09 23:00:00,2023-04-09 23:00:00,LONG,1.1313107928547343,1.1301963991026538,-33373.691188425364,-113.13107928547343,0.8999999999999999,1,Stop Loss,False,114126.40957615165
2023-04-10 03:00:00,2023-04-10 03:00:00,SHORT,1.128395838971565,1.1258077757226936,26760.37705553195,117.24007245525365,0.95,9,Take Profit,True,140886.7866316836
2023-04-10 13:00:00,2023-04-10 13:00:00,SHORT,1.125152312382845,1.1270560621134562,-31703.81875256546,-112.51523123828451,1.0,14,Stop Loss,False,109182.96787911812
2023-04-11 05:00:00,2023-04-11 05:00:00,SHORT,1.1269848038085388,1.1277574508092403,-24609.50912689639,-112.69848038085391,1.0,5,Stop Loss,False,84573.45875222173
2023-04-11 13:00:00,2023-04-11 13:00:00,SHORT,1.1296765741451458,1.1288842871742029,19108.131029363132,112.9676574145146,1.0,1,Stop Loss,True,103681.58978158486
2023-04-11 18:00:00,2023-04-11 18:00:00,SHORT,1.1269606639661127,1.1282518888907551,-23369.014652263402,-112.69606639661127,1.0,14,Stop Loss,False,80312.57512932146
2023-04-12 12:00:00,2023-04-12 12:00:00,SHORT,1.128912988786559,1.1299054113227056,-18133.18184527747,-112.8912988786559,1.0,6,Stop Loss,False,62179.39328404398
2023-04-12 23:00:00,2023-04-12 23:00:00,SHORT,1.1313569602726115,1.1324621311109637,-14069.417875486248,-113.13569602726116,1.0,1,Stop Loss,False,48109.97540855773
2023-04-13 06:00:00,2023-04-13 06:00:00,SHORT,1.134896610667123,1.13527933577682,-10919.96960609016,-113.4896610667123,1.0,1,Stop Loss,False,37190.00580246757
2023-04-13 09:00:00,2023-04-13 09:00:00,SHORT,1.1341474034304369,1.1346527172250833,-8435.789702886295,-113.4147403430437,1.0,1,Stop Loss,False,28754.216099581274
2023-04-13 16:00:00,2023-04-13 16:00:00,SHORT,1.1377918903189395,1.1324937496880045,57770.04491723193,1004.5491192867745,1.0,7,Take Profit,True,86524.2610168132
2023-04-14 00:00:00,2023-04-14 00:00:00,SHORT,1.1314832337017187,1.133627811266723,-19580.15012979107,-113.14832337017187,1.0,6,Stop Loss,False,66944.11088702212
2023-04-14 07:00:00,2023-04-14 07:00:00,LONG,1.133782406627335,1.1329108822072969,-15180.011030203023,-113.37824066273348,0.95,1,Stop Loss,False,51764.0998568191
2023-04-14 09:00:00,2023-04-14 09:00:00,SHORT,1.1317274287217134,1.1273448431822513,27749.65930641727,268.0396199602966,1.0,11,Take Profit,True,79513.75916323636
2023-04-14 21:00:00,2023-04-14 21:00:00,SHORT,1.1263226068036827,1.127672685094873,-17911.62889949932,-112.63226068036826,1.0,1,Stop Loss,False,61602.13026373704
2023-04-15 01:00:00,2023-04-15 01:00:00,SHORT,1.126724826672703,1.127820162151326,-13881.72990881568,-112.6724826672703,1.0,9,Stop Loss,False,47720.40035492136
2023-04-15 16:00:00,2023-04-15 16:00:00,SHORT,1.1308900129004813,1.1258412848619856,195791.60337153226,2051.4455234588204,1.0,32,Take Profit,True,243512.0037264536
2023-04-17 01:00:00,2023-04-17 01:00:00,SHORT,1.1266389280803704,1.1275082661497624,-54870.02057061497,-112.66389280803703,1.0,14,Stop Loss,False,188641.98315583862
2023-04-18 00:00:00,2023-04-18 00:00:00,SHORT,1.1304860617896924,1.1278012442958758,51608.03311734109,136.78830198341183,1.0,11,Take Profit,True,240250.0162731797
2023-04-18 12:00:00,2023-04-18 12:00:00,SHORT,1.1294703449714116,1.1232423777371405,620551.0522948377,1291.469324166936,1.0,9,Take Profit,True,860801.0685680173
2023-04-18 22:00:00,2023-04-18 22:00:00,SHORT,1.1237928912966415,1.1245496690073855,-193472.42433545814,-112.37928912966414,1.0,1,Stop Loss,False,667328.6442325593
2023-04-19 02:00:00,2023-04-19 02:00:00,SHORT,1.1249623810272482,1.1261655948548972,-150143.92410870906,-112.49623810272482,1.0,3,Stop Loss,False,517184.72012385016
2023-04-19 07:00:00,2023-04-19 07:00:00,SHORT,1.1248496616012607,1.1260074451382822,-116351.01148333112,-112.48496616012606,1.0,2,Stop Loss,False,400833.70864051906
2023-04-19 16:00:00,2023-04-19 16:00:00,SHORT,1.129713968476118,1.130291841065858,-90565.48793745617,-112.9713968476118,1.0,1,Stop Loss,False,310268.2207030629
2023-04-19 20:00:00,2023-04-19 20:00:00,SHORT,1.130800701481715,1.1312782627585116,-70170.3043237014,-113.08007014817147,1.0,1,Stop Loss,False,240097.91637936147
2023-04-20 05:00:00,2023-04-20 05:00:00,SHORT,1.1344837011746125,1.1353412376473122,-54477.43456367413,-113.44837011746125,1.0,1,Stop Loss,False,185620.48181568735
2023-04-20 07:00:00,2023-04-20 07:00:00,LONG,1.1356495016985897,1.1347705284904643,-42159.961535807495,-113.56495016985897,1.0,2,Stop Loss,False,143460.52027987986
2023-04-20 11:00:00,2023-04-20 11:00:00,SHORT,1.1324151479482594,1.128569731094235,56601.50116683299,197.2720475863605,1.0,32,Take Profit,True,200062.02144671284
2023-04-21 20:00:00,2023-04-21 20:00:00,SHORT,1.1286725767889818,1.1293963844747612,-45160.90345277479,-112.86725767889818,1.0,6,Stop Loss,False,154901.11799393804
2023-04-22 06:00:00,2023-04-22 06:00:00,SHORT,1.1287175030136325,1.1292127993205032,-34967.92062322756,-112.87175030136325,1.0,1,Stop Loss,False,119933.19737071048
2023-04-22 09:00:00,2023-04-22 09:00:00,SHORT,1.1282526927415903,1.129721924081487,-27062.990576522545,-112.82526927415904,1.0,4,Stop Loss,False,92870.20679418794
2023-04-22 16:00:00,2023-04-22 16:00:00,SHORT,1.1300597883225405,1.1308950042051107,-20989.777246262118,-113.00597883225404,1.0,1,Stop Loss,False,71880.42954792581
2023-04-22 18:00:00,2023-04-22 18:00:00,LONG,1.132136317969369,1.1364550090599492,33978.89574759107,236.35707216340342,1.0,5,Take Profit,True,105859.32529551689
